step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
156,0.0,0.0,0.0,0.0,0.0,28.42,0,43.0,
157,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
158,0.0,0.0,0.0,0.0,0.0,0,12.08,0.0,
159,0.0,0.0,0.0,0.0,0.0,0,0.08000000000000007,0.0,
160,0.0,0.0,0.0,0.0,0.0,0,5.08,0.0,
161,0.0,0.0,0.0,0.0,0.0,16.42,0,0.0,
162,0.0,0.0,0.0,0.0,0.0,26.42,0,0.0,
163,0.0,0.0,0.0,0.0,0.0,27.42,23.08,0.0,
164,0.0,0.0,0.0,0.0,0.0,0,25.08,35.0,
165,0.0,0.0,0.0,0.0,0.0,0,0.08000000000000007,0.0,
166,0.0,0.0,0.0,0.0,0.0,0,2.08,0.0,
167,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
168,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
169,0.0,0.0,0.0,0.0,0.0,0,2.08,0.0,
170,0.0,0.0,0.0,0.0,0.0,0,17.08,0.0,
171,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
172,0.0,0.0,0.0,0.0,0.0,0,3.08,0.0,
173,0.0,0.0,0.0,0.0,0.0,11.42,0,0.0,
174,0.0,0.0,0.0,0.0,0.0,0,3.08,0.0,
175,0.0,0.0,0.0,0.0,0.0,24.42,6.08,0.0,
176,0.0,0.0,0.0,0.0,0.0,18.42,0,0.0,
177,0.0,0.0,0.0,0.0,0.0,0,2.08,0.0,
178,0.0,0.0,0.0,0.0,0.0,0,17.08,0.0,
179,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
180,0.0,0.0,0.0,0.0,0.0,0,3.08,0.0,
181,0.0,0.0,0.0,0.0,0.0,11.42,0.08000000000000007,0.0,
182,0.0,0.0,0.0,0.0,0.0,38.42,0,0.0,
183,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
184,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
185,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
186,0.0,0.0,0.0,0.0,0.0,0,0.08000000000000007,0.0,
187,0.0,0.0,0.0,0.0,0.0,0,5.08,0.0,
188,0.0,0.0,0.0,0.0,0.0,0,0.08000000000000007,0.0,
189,0.0,0.0,0.0,0.0,0.0,8.42,0.08000000000000007,0.0,
190,0.0,0.0,0.0,0.0,0.0,39.42,0,0.0,
191,0.0,0.0,0.0,0.0,0.0,14.42,0,0.0,
192,0.0,0.0,0.0,0.0,0.0,0,7.08,0.0,
193,0.0,0.0,0.0,0.0,0.0,0,8.08,0.0,
194,0.0,0.0,0.0,0.0,0.0,0,4.08,0.0,
195,0.0,0.0,0.0,0.0,0.0,0,2.08,0.0,
196,0.0,0.0,0.0,0.0,0.0,0,0,0.0,
197,0.0,0.0,0.0,0.0,0.0,12.42,2.08,0.0,
198,0.0,0.0,0.0,0.0,0.0,32.42,16.08,0.0,
199,0.0,0.0,0.0,0.0,0.0,2.42,11.08,0.0,
